Фамилия;Имя;Отчество;Регион;Серия и номер паспорта;Марка автомобиля;Модель автомобиля;Год выпуска;Цвет;Номерной знак;Нарушение
Якубович;Денис;Викторович;Воронежская область;4 959 884 397;Fiat;Sedici;2012;Голубой;Е486НН93;
Борисюк;Марианна;Вячеславовна;Московская область;4 563 398 153;Chery;Tiggo 7;2017;Ярко-красный;К552ВВ10;
Михалёва;Антонина;Павловна;Ханты-Мансийский ао-Югра;4 856 459 394;Citroen;C4;2009;Серебристо-коричневый;Р874ОВ94;Статья 12.8. Управление транспортным средством водителем, находящимся в состоянии опьянения, передача управления транспортным средством лицу, находящемуся в состоянии опьянения
Милорадов;Василий;Алексеевич;Амурская область;4 531 359 133;Citroen;C4 Picasso;2019;Серебристо-зелёно-голубой;Е642ЕТ35;
Кайназарова;Анастасия;Севастьяновна;Нижегородская область;4 716 772 943;Audi;A4;1997;Чёрный;Е064СА00;
Коллерова;Катерина;Павловна;Смоленская область;4 596 709 826;Chery;Bonus 3;2014;Серебристо-ярко-зелёный;Р883КХ55;Статья 12.23. Нарушение правил перевозки людей
Устимович;Надежда;Федоровна;Республика Ингушетия;4 554 906 974;Audi;A4;1995;Голубой;А143СТ10;
Пересторонина;Марфа;Федоровна;Ростовская область;4 041 478 184;Daewoo;Nexia;2000;Светло-фиолетовый;В451УМ08;
Щербакова;Ульяна;Трофимовна;Республика Дагестан;4 934 548 597;Daewoo;Nubira;2008;Серебристо-тёмно-синий;М558СР71;
Степанова;Вера;Саввановна;Тульская область;4 753 477 286;Daewoo;Nexia;2016;Тёмно-красный;Р435ТС92;
Яловкина;Людмила;Севастьяновна;Архангельская обл. без НАО;4 512 918 460;Citroen;C3;2013;Тёмно-зелёный;Т970ОР37;
Эссена;Мария;Алексеевна;Ставропольский край;4 350 521 925;Audi;A4;2015;Серебристо-серо-синий;В588МЕ98;Статья 12.32. Допуск к управлению транспортным средством водителя, находящегося в состоянии опьянения либо не имеющего права управления транспортным средством
Капшукова;Афанасия;Давидович;Ульяновская область;4 730 114 441;Daewoo;Nexia;2010;Красно-коричневый;С081РР43;
Деменкова;Таисия;Михаиловна;Московская область;4 634 228 206;Daewoo;Leganza;2001;Бежевый;А383АХ67;
Семичаевский;Виталий;Павлович;Кемеровская область;4 121 906 189;Honda;Civic;2008;Серебристо-вишнёвый;Е225СО68;Статья 12.35. Незаконное ограничение прав на управление транспортным средством и его эксплуатацию
Анасенко;Вениамин;Александрович;Калужская область;4 754 569 560;Geely;Emgrand GS;2016;Светло-жёлтый;Е839КЕ40;
Унгерна;Маргарита;Игнатьевна;Республика Башкортостан;4 911 476 595;Infiniti;EX;2014;Серо-синий;Е408ЕН34;
Кочкорбаев;Тимофей;Артемович;Мурманская область;4 171 301 375;Geely;Emgrand 7;2017;Ярко-зелёный;О506МК86;
Блока;Настасья;Лаврентьевна;Республика Коми;4 618 687 235;Fiat;Qubo;2009;Тёмно-синий;М608НА37;Статья 12.32.1. Допуск к управлению транспортным средством водителя, не имеющего российского национального водительского удостоверения
Шмаков;Антон;Павлович;Красноярский край;4 517 297 350;Volvo;XC60;2008;Серебристо-тёмно-синий;Р930ТХ96;
Свешникова;Аполлинария;Никандровна;Карачаево-Черкесская Респ.;4 344 374 594;Citroen;C4 Cactus;2017;Серебристо-серо-зелёный;А122НК47;
Ялбачев;Степан;Максимович;Республика Бурятия;4 179 335 390;Geely;Emgrand X7;2019;Серебристо-серо-зеленоватый;А121НК10;
Тихвинская;Тамара;Наумовна;Республика Татарстан;4 355 911 685;Ford;Fiesta;2014;Тёмно-синий;У994НМ89;
Саввин;Григорий;Георгиевич;Московская область;4 392 386 318;Geely;Emgrand X7;2017;Зелёный;У503ХР55;
Насонова;Маргарита;Тимофеевна;Красноярский край;4 612 648 596;Chevrolet;Captiva;2010;Ярко-зелёный;Е963ММ77;
Комяхова;Милана;Тимофеевна;Тюменская обл. без АО;4 112 417 400;Chery;Tiggo 3;2020;Серебристо-коричневый;Р266СР26;Статья 12.32. Допуск к управлению транспортным средством водителя, находящегося в состоянии опьянения либо не имеющего права управления транспортным средством
Капитонов;Антон;Степанович;Сахалинская область;4 311 960 242;Volvo;S70;1997;Серебристый;С969МС36;
Шурыгин;Игнат;Васильевич;Курская область;4 461 802 884;Audi;A1;2014;Тёмно-бордовый;К651МХ24;
Черепанова;Василиса;Степановна;Ульяновская область;4 148 769 641;Volvo;V70;2019;Серебристо-зелёный;В067ХН22;
Славаков;Валентин;Трофимович;Новгородская область;4 589 310 419;Hyundai;Accent;2016;Ярко-красный;А060НР30;
Веселов;Филипп;Ипполитович;Республика Марий Эл;4 878 772 336;Audi;A5;2018;Золотисто-зелёный;С950АК19;
Садовничая;Зоя;Юрьевна;Волгоградская область;4 959 566 907;Volvo;C70 Coupe;1999;Чёрный;К061ВА24;
Сотов;Виталий;Кузьмич;Смоленская область;4 514 175 829;Ford;Fusion;2007;Золотистый тёмно-зелёный;М990АВ11;
Дудко;Герасим;Николаевич;Республика Татарстан;4 438 963 540;Volvo;C70 Coupe;2006;Серебристо-голубоватый;У771ЕТ95;Статья 12.32.1. Допуск к управлению транспортным средством водителя, не имеющего российского национального водительского удостоверения
Лобов;Георгий;Тимофеевич;Московская область;4 995 135 818;Ford;Explorer;2001;Ярко-красный;С926МС41;
Ермилова;Евгения;Тимофеевна;Свердловская область;4 848 964 970;Fiat;Sedici;2005;Тёмно-зелёный;В085РА63;
Хейчеев;Леонтий;Валерианович;Приморский край;4 288 218 363;Audi;A3;2007;Серебристо-бежевый;В532НС67;
Крак;Леонтий;Игнатьевич;Вологодская область;4 359 861 103;Ford;Fiesta;2012;Серебристый-бежевый;К088ЕМ18;
Капитонов;Макар;Михаилович;Мурманская область;4 622 341 043;Hyundai;Creta;2018;Серебристо-ярко-фиолетовый;Х193СТ43;
Салко;Василий;Максимович;Краснодарский край;4 570 159 552;Ford;Explorer;2020;Тёмно-зелёный;Р314ВН39;
Жиренкова;Марина;Денисовна;Владимирская область;4 383 381 831;Volvo;V50;2005;Бежевый;А460РО24;
Федченков;Вениамин;Климентьевич;Саратовская область;4 753 443 309;Audi;A3;1996;Серебристо-светло оранжевый;Н823ХМ25;
Набадчиков;Марк;Петрович;Ярославская область;4 160 638 485;Geely;Emgrand 7;2019;Серебристо-красно-оранжевый;М994НС92;
Кулаков;Константин;Кириллович;Иркутская область;4 526 476 319;Fiat;Punto;2009;Серебристо-бело-молочный;А992РО70;
Яхимович;Татьяна;Геннадьевна;Московская область;4 771 614 494;Fiat;Punto;2010;Тёмно-синий;А427ЕА89;
Яброва;Марфа;Семеновна;Московская область;4 452 632 513;Fiat;Panda 4x4;2003;Серебристо-тёмно-серо-синий;Х554УХ39;
Игнатова;Марьямна;Егоровна;гор. Санкт-Петербург;4 698 763 648;Ford;Focus;2003;Ярко-красный;К240РА40;Статья 12.37. Несоблюдение требований об обязательном страховании гражданской ответственности владельцев транспортных средств
Горев;Герасим;Кузьмич;Мурманская область;4 257 691 629;Honda;Civic;2016;Ярко-синий;О847СМ17;
Есиков;Максим;Михаилович;Рязанская область;4 325 308 174;Chevrolet;Aveo;2011;Серебристо-ярко-синий;Т592КУ29;
Чувикова;Сергей;Семенович;Республика Мордовия;4 650 607 438;Audi;A5;2011;Тёмно-зелёный;В589ОЕ80;
Каменчук;Лаврентий;Юрьевич;Амурская область;4 472 359 072;Honda;City;2018;Светло-синий;Т914ЕК01;
Бабуров;Марк;Яковлевич;Ульяновская область;4 518 644 802;Infiniti;EX;2010;Желто-зелёный;Н519ТМ40;
Истлентьева;Наталия;Давидович;Республика Марий Эл;4 943 307 935;BMW;X4;2018;Тёмно-зелёный;Т295НР23;
Коршунова;Василиса;Дмитриевна;Московская область;4 134 670 463;Geely;Emgrand 7;2020;Оранжевый;Т044ЕХ88;
Захаров;Ефим;Сергеевич;Тюменская обл. без АО;4 967 287 090;Citroen;C1;2009;Вишнёвый;С202РЕ36;
Казнова;Марфа;Павловна;Тверская область;4 874 784 774;Geely;Emgrand EC7;2013;Серебристо-зелёно-голубой;Е365РК59;
Цыганкова;Нонна;Федотовна;Калининградская обл.;4 027 740 551;Volvo;V50;2005;Тёмно-синий;В466УВ68;
Чупракова;Юлия;Николаевна;Пермский край;4 113 837 143;Volvo;C30;2010;Салатовый;М277ВН87;
Казючиц;Аркадий;Степанович;Ростовская область;4 042 397 670;Citroen;C3 Aircross;2018;Серебристо-зелёно-голубой;Т911НХ59;
Набережная;Галина;Александровна;Кемеровская область;4 364 759 183;Daewoo;Matiz;2009;Красный металлик;О181СО73;
Авдонин;Игнат;Валентинович;Чувашская Республика;4 114 829 282;Audi;A1;2012;Серебристо-коричневый;Н667АВ71;
Яицкая;Марфа;Максимовна;Республика Тыва;4 521 763 956;Chevrolet;Cruze;2017;Тёмно-синий;С661МЕ47;
Черепанова;Арина;Гаврннловна;Московская область;4 342 871 301;Honda;Accord;2018;Серебристо-серо-графитовый;Н823ВУ61;
Жарков;Александр;Севастьянович;Московская область;4 271 511 320;Infiniti;EX;2011;Серебристый тёмно-синий;Т167НТ81;
Ромазанов;Егор;Игнатьевич;Хабаровский край;4 655 273 876;Chery;Tiggo 3;2014;Серебристый;К912РМ91;
Вершинин;Антон;Егорович;Тамбовская область;4 878 926 120;Daewoo;Matiz;2001;Тёмно-зелёный;О209НС68;
Левина;Надежда;Саввановна;Республика Марий Эл;4 567 127 768;Volvo;V40;2003;Ярко-синий;Е871РА81;
Килис;Валерий;Алексеевич;Красноярский край;4 050 123 204;BMW;X7;2020;Серебристо-голубоватый;А410УВ54;
Андрианов;Феликс;Викторович;Чувашская Республика;4 590 550 993;Volvo;V70;2002;Серебристо-бледно-серый;А887СА63;
Ясин;Валерий;Прохорович;Московская область;4 537 741 521;Hyundai;Creta;2017;Серебристо-красно-оранжевый;Н200РС25;
Пересторонина;Раиса;Геннадьевна;Томская область;4 513 623 635;Chevrolet;Cruze;2019;Чёрный;У848ТК54;
Кручинина;Дарья;Викторовна;Ставропольский край;4 590 607 359;Honda;Civic;2001;Серо-синий;Р941АУ60;
Нустрова;Зинаида;Тимофеевна;Самарская область;4 899 771 609;Hyundai;ix20;2012;Бежевый;Н985ОТ44;
Задкова;Людмила;Феликсовна;Республика Дагестан;4 583 280 896;Daewoo;Leganza;1999;Серебристо-бело-молочный;У775ЕУ39;
Карюкин;Роман;Артемович;Ставропольский край;4 250 154 539;Hyundai;Solaris;2020;Серебристый;В705СВ13;
Сьянова;Валерия;Петровна;Хабаровский край;4 171 674 886;Ford;C-Max;2019;Цвет морской волны;Р641НВ27;
Приходько;Лаврентий;Ефимович;Ростовская область;4 313 470 530;Fiat;Panda 4x4;2005;Красный;В250ЕО79;
Пустоходова;Евгения;Гаврннловна;Архангельская обл. без НАО;4 322 686 269;BMW;X3 M;2019;Серо-чёрный;Н692ХМ16;
Корепанов;Арсений;Серафимович;Смоленская область;4 021 357 151;Daewoo;Magnus;2005;Тёмно-синий;К047ТУ88;
Ягода;Феликс;Филиппович;Респ. Башкортостан;4 015 341 545;Volvo;C70 Coupe;1997;Голубой;Е540ХМ45;
Капп;Аркадий;Александрович;Краснодарский край;4 031 787 725;Hyundai;Sonata;2007;Тёмно-вишнёво-малиновый;К431УН72;
Бонч-Бруевич;Виталий;Антонович;гор. Санкт-Петербург;4 991 333 044;Audi;A1;2016;Серебристо-голубой;У160УО34;
Лунина;Вероника;Семеновна;Краснодарский край;4 038 605 552;Citroen;C2;2004;Золотисто-бежевый;У550АН66;
Боброва;Лана;Яковна;Ханты-Мансийский ао-Югра;4 095 463 372;Audi;A2;2003;Серебристо-серо-коричневый;Р288МС42;
Парамонов;Арсений;Геннадьевич;Свердловская область;4 080 708 501;Ford;Focus Active;2019;Желто-золотой;С364ОМ81;
Эйбоженко;Адам;Артемович;Владимирская область;4 317 835 229;Ford;Focus;2003;Желто-золотой;Х165ТС08;Статья 12.32. Допуск к управлению транспортным средством водителя, находящегося в состоянии опьянения либо не имеющего права управления транспортным средством
